Redshift (z)	distance modulus (m-M)	1-sigma error							
0.383	41.6420339	0.251010175							
0.387297107	41.89246533	0.186429866							
0.389288788	41.60262843	0.200867576							
0.391599213	41.5087271	0.171564316							
0.393974478	41.78115342	0.15070732							
0.3965	41.48792079	0.202374999							
0.399	41.48808176	0.292952212							
0.399601335	41.72880031	0.205132434							
0.401	41.69542447	0.229308722							
0.402459619	41.91114676	0.211278494							
0.408319092	41.84029353	0.206369619							
0.41	41.34749333	0.256981142							
0.415	41.87677046	0.141093703							
0.420926821	42.133548	0.202321001							
0.421	42.17962775	0.233773507							
0.422	41.72830946	0.230713846							
0.423	41.56552588	0.243579001							
0.426	41.76157748	0.224920671							
0.429	41.89003881	0.21547139							
0.43	42.18412421	0.148171058							
0.43	41.8109208	0.151082143							
0.436	41.8800162	0.216533947							
0.436	41.9257693	0.22826276							
0.44	42.01064753	0.107484808							
0.449	42.02306835	0.157063021							
0.451	41.79667441	0.143055822							
0.455	42.32393227	0.22962754							
0.46	42.14844961	0.210095498							
0.4607	42.07166655	0.181262455							
0.4627	42.042285	0.147568802							
0.463	41.94775375	0.266464454							
0.468	42.54890374	0.163914771							
0.469	42.35448121	0.283152406							
0.47	42.13455949	0.153239602							
0.475	42.1048814	0.255958317							
0.477	42.05433516	0.183599934							
0.493	42.14691467	0.263957547							
0.495	42.24866337	0.232347966							
0.496	42.21467603	0.15281454							
0.497	42.32455309	0.167980194							
0.497	42.07577382	0.221637713							
0.5043	42.3382007	0.149577507							
0.508	42.19427073	0.231767203							
0.51	41.88068537	0.226762462							
0.511	42.37366047	0.089061755							
0.521	42.18012945	0.160996803							
0.521	42.37824456	0.199332155							
0.522	42.67733035	0.247150869							
0.526	42.40021068	0.166943097							
0.528	42.45434957	0.244290675							
0.532	42.56581566	0.166651053							
0.539	42.22666321	0.241797816							
0.54	42.42462127	0.111551881							
0.54	42.51116352	0.282945442							
0.543	42.47880585	0.098141434							
0.548	42.29629856	0.188370893							
0.55	42.27564705	0.155204642							
0.5516	42.30318373	0.149254873							
0.552	42.51093428	0.103414503							
